"concept_code","c_name"
"A02.1","A02.1 Salmonella Sepsis"
"A18.10","A18.10 Tuberculosis Of Genitourinary System, Unspecified"
"A40.3","A40.3 Sepsis Due To Streptococcus Pneumoniae"
"A49.9","A49.9 Bacterial Infection, Unspecified"
"A50.9","A50.9 Congenital Syphilis, Unspecified"
"A59.9","A59.9 Trichomoniasis, Unspecified"
"A60.02","A60.02 Herpesviral Infection Of Other Male Genital Organs"
"A68.9","A68.9 Relapsing Fever, Unspecified"
"A86","A86 Unspecified Viral Encephalitis"
"B00.51","B00.51 Herpesviral Iridocyclitis"
"B00.89","B00.89 Other Herpesviral Infection"
"B02.31","B02.31 Zoster Conjunctivitis"
"B25.1","B25.1 Cytomegaloviral Hepatitis"
"B25.9","B25.9 Cytomegaloviral Disease, Unspecified"
"B30.8","B30.8 Other Viral Conjunctivitis"
"B35.1","B35.1 Tinea Unguium"
"B44.81","B44.81 Allergic Bronchopulmonary Aspergillosis"
"B58.9","B58.9 Toxoplasmosis, Unspecified"
"B88.8","B88.8 Other Specified Infestations"
"B88.9","B88.9 Infestation, Unspecified"
"B95.2","B95.2 Enterococcus As The Cause Of Diseases Classified Elsewhere"
"B95.5","B95.5 Unspecified Streptococcus As The Cause Of Diseases Classified Elsewhere"
"B95.62","B95.62 Methicillin Resistant Staphylococcus Aureus Infection As The Cause Of Diseases Classified Elsewhere"
"B96.7","B96.7 Clostridium Perfringens [C. Perfringens] As The Cause Of Diseases Classified Elsewhere"
"B97.7","B97.7 Papillomavirus As The Cause Of Diseases Classified Elsewhere"
"C09.1","C09.1 Malignant Neoplasm Of Tonsillar Pillar (Anterior) (Posterior)"
"C18.0","C18.0 Malignant Neoplasm Of Cecum"
"C18.1","C18.1 Malignant Neoplasm Of Appendix"
"C18.6","C18.6 Malignant Neoplasm Of Descending Colon"
"C19","C19 Malignant Neoplasm Of Rectosigmoid Junction"
"C21.8","C21.8 Malignant Neoplasm Of Overlapping Sites Of Rectum, Anus And Anal Canal"
"C23","C23 Malignant Neoplasm Of Gallbladder"
"C25.0","C25.0 Malignant Neoplasm Of Head Of Pancreas"
"C25.8","C25.8 Malignant Neoplasm Of Overlapping Sites Of Pancreas"
"C34.12","C34.12 Malignant Neoplasm Of Upper Lobe, Left Bronchus Or Lung"
"C43.51","C43.51 Malignant Melanoma Of Anal Skin"
"C44.320","C44.320 Squamous Cell Carcinoma Of Skin Of Unspecified Parts Of Face"
"C44.519","C44.519 Basal Cell Carcinoma Of Skin Of Other Part Of Trunk"
"C44.99","C44.99 Other Specified Malignant Neoplasm Of Skin, Unspecified"
"C50.012","C50.012 Malignant Neoplasm Of Nipple And Areola, Left Female Breast"
"C50.312","C50.312 Malignant Neoplasm Of Lower-Inner Quadrant Of Left Female Breast"
"C50.812","C50.812 Malignant Neoplasm Of Overlapping Sites Of Left Female Breast"
"C51.0","C51.0 Malignant Neoplasm Of Labium Majus"
"C56.1","C56.1 Malignant Neoplasm Of Left Ovary"
"C65.1","C65.1 Malignant Neoplasm Of Left Renal Pelvis"
"C68.9","C68.9 Malignant Neoplasm Of Urinary Organ, Unspecified"
"C72.0","C72.0 Malignant Neoplasm Of Spinal Cord"
"C73","C73 Malignant Neoplasm Of Thyroid Gland"
"C77.3","C77.3 Secondary And Unspecified Malignant Neoplasm Of Axilla And Upper Limb Lymph Nodes"
"C77.5","C77.5 Secondary And Unspecified Malignant Neoplasm Of Intrapelvic Lymph Nodes"
"C79.19","C79.19 Secondary Malignant Neoplasm Of Other Urinary Organs"
"C79.2","C79.2 Secondary Malignant Neoplasm Of Skin"
"C79.71","C79.71 Secondary Malignant Neoplasm Of Right Adrenal Gland"
"C79.72","C79.72 Secondary Malignant Neoplasm Of Left Adrenal Gland"
"C7A.090","C7A.090 Malignant Carcinoid Tumor Of The Bronchus And Lung"
"C81.78","C81.78 Other Classical Hodgkin Lymphoma, Lymph Nodes Of Multiple Sites"
"C81.94","C81.94 Hodgkin Lymphoma, Unspecified, Lymph Nodes Of Axilla And Upper Limb"
"C83.58","C83.58 Lymphoblastic (Diffuse) Lymphoma, Lymph Nodes Of Multiple Sites"
"C83.59","C83.59 Lymphoblastic (Diffuse) Lymphoma, Extranodal And Solid Organ Sites"
"C84.14","C84.14 S?zary Disease, Lymph Nodes Of Axilla And Upper Limb"
"C84.44","C84.44 Peripheral T-Cell Lymphoma, Not Classified, Lymph Nodes Of Axilla And Upper Limb"
"C85.89","C85.89 Other Specified Types Of Non-Hodgkin Lymphoma, Extranodal And Solid Organ Sites"
"C85.97","C85.97 Non-Hodgkin Lymphoma, Unspecified, Spleen"
"C88.4","C88.4 Extranodal Marginal Zone B-Cell Lymphoma Of Mucosa-Associated Lymphoid Tissue [Malt-Lymphoma]"
"C91.10","C91.10 Chronic Lymphocytic Leukemia Of B-Cell Type Not Having Achieved Remission"
"C91.12","C91.12 Chronic Lymphocytic Leukemia Of B-Cell Type In Relapse"
"C91.40","C91.40 Hairy Cell Leukemia Not Having Achieved Remission"
"C92.00","C92.00 Acute Myeloblastic Leukemia, Not Having Achieved Remission"
"C92.10","C92.10 Chronic Myeloid Leukemia, Bcr/Abl-Positive, Not Having Achieved Remission"
"C94.6","C94.6 Myelodysplastic Disease, Not Classified"
"C95.10","C95.10 Chronic Leukemia Of Unspecified Cell Type Not Having Achieved Remission"
"D01.7","D01.7 Carcinoma In Situ Of Other Specified Digestive Organs"
"D04.61","D04.61 Carcinoma In Situ Of Skin Of Right Upper Limb, Including Shoulder"
"D17.1","D17.1 Benign Lipomatous Neoplasm Of Skin And Subcutaneous Tissue Of Trunk"
"D17.20","D17.20 Benign Lipomatous Neoplasm Of Skin And Subcutaneous Tissue Of Unspecified Limb"
"D18.02","D18.02 Hemangioma Of Intracranial Structures"
"D22.5","D22.5 Melanocytic Nevi Of Trunk"
"D22.60","D22.60 Melanocytic Nevi Of Upper Limb, Including Shoulder, Unspecified Side"
"D31.30","D31.30 Benign Neoplasm Of Choroid, Unspecified Side"
"A09","A09 Infectious Gastroenteritis And Colitis, Unspecified"
"A15.6","A15.6 Tuberculous Pleurisy"
"A18.01","A18.01 Tuberculosis Of Spine"
"A41.52","A41.52 Sepsis Due To Pseudomonas"
"A43.9","A43.9 Nocardiosis, Unspecified"
"A48.0","A48.0 Gas Gangrene"
"A54.82","A54.82 Gonococcal Brain Abscess"
"A56.09","A56.09 Other Chlamydial Infection Of Lower Genitourinary Tract"
"A60.01","A60.01 Herpesviral Infection Of Penis"
"A80.9","A80.9 Acute Poliomyelitis, Unspecified"
"A87.9","A87.9 Viral Meningitis, Unspecified"
"B02.21","B02.21 Postherpetic Geniculate Ganglionitis"
"B02.30","B02.30 Zoster Ocular Disease, Unspecified"
"B02.9","B02.9 Zoster Without Complications"
"B07.9","B07.9 Viral Wart, Unspecified"
"B08.1","B08.1 Molluscum Contagiosum"
"B17.8","B17.8 Other Specified Acute Viral Hepatitis"
"B18.2","B18.2 Chronic Viral Hepatitis C"
"B19.10","B19.10 Unspecified Viral Hepatitis B Without Hepatic Coma"
"B19.20","B19.20 Unspecified Viral Hepatitis C Without Hepatic Coma"
"B19.9","B19.9 Unspecified Viral Hepatitis Without Hepatic Coma"
"B30.9","B30.9 Viral Conjunctivitis, Unspecified"
"B35.4","B35.4 Tinea Corporis"
"B37.0","B37.0 Candidal Stomatitis"
"B37.89","B37.89 Other Sites Of Candidiasis"
"B44.1","B44.1 Other Pulmonary Aspergillosis"
"B49","B49 Unspecified Mycosis"
"B96.4","B96.4 Proteus (Mirabilis) (Morganii) As The Cause Of Diseases Classified Elsewhere"
"C16.3","C16.3 Malignant Neoplasm Of Pyloric Antrum"
"C16.4","C16.4 Malignant Neoplasm Of Pylorus"
"C17.9","C17.9 Malignant Neoplasm Of Small Intestine, Unspecified"
"C21.0","C21.0 Malignant Neoplasm Of Anus, Unspecified"
"C21.1","C21.1 Malignant Neoplasm Of Anal Canal"
"C22.1","C22.1 Intrahepatic Bile Duct Carcinoma"
"C24.0","C24.0 Malignant Neoplasm Of Extrahepatic Bile Duct"
"C26.9","C26.9 Malignant Neoplasm Of Ill-Defined Sites Within The Digestive System"
"C32.0","C32.0 Malignant Neoplasm Of Glottis"
"C34.01","C34.01 Malignant Neoplasm Of Right Main Bronchus"
"C34.31","C34.31 Malignant Neoplasm Of Lower Lobe, Right Bronchus Or Lung"
"C34.32","C34.32 Malignant Neoplasm Of Lower Lobe, Left Bronchus Or Lung"
"C34.91","C34.91 Malignant Neoplasm Of Right Bronchus Or Lung, Unspecified"
"C40.02","C40.02 Malignant Neoplasm Of Scapula And Long Bones Of Left Upper Limb"
"C40.12","C40.12 Malignant Neoplasm Of Short Bones Of Left Upper Limb"
"C44.619","C44.619 Basal Cell Carcinoma Of Skin Of Left Upper Limb, Including Shoulder"
"C44.622","C44.622 Squamous Cell Carcinoma Of Skin Of Right Upper Limb, Including Shoulder"
"C44.90","C44.90 Unspecified Malignant Neoplasm Of Skin, Unspecified"
"C44.92","C44.92 Squamous Cell Carcinoma Of Skin, Unspecified"
"C45.9","C45.9 Mesothelioma, Unspecified"
"C46.9","C46.9 Kaposi'S Sarcoma, Unspecified"
"C48.2","C48.2 Malignant Neoplasm Of Peritoneum, Unspecified"
"C49.21","C49.21 Malignant Neoplasm Of Connective And Soft Tissue Of Right Lower Limb, Including Hip"
"C49.8","C49.8 Malignant Neoplasm Of Overlapping Sites Of Connective And Soft Tissue"
"C50.419","C50.419 Malignant Neoplasm Of Upper-Outer Quadrant Of Unspecified Female Breast"
"C50.912","C50.912 Malignant Neoplasm Of Unspecified Site Of Left Female Breast"
"C50.919","C50.919 Malignant Neoplasm Of Unspecified Site Of Unspecified Female Breast"
"C51.8","C51.8 Malignant Neoplasm Of Overlapping Sites Of Vulva"
"C57.00","C57.00 Malignant Neoplasm Of Fallopian Tube, Unspecified Side"
"C66.9","C66.9 Malignant Neoplasm Of Ureter, Unspecified Side"
"C67.1","C67.1 Malignant Neoplasm Of Dome Of Bladder"
"C71.5","C71.5 Malignant Neoplasm Of Cerebral Ventricle"
"C77.8","C77.8 Secondary And Unspecified Malignant Neoplasm Of Lymph Nodes Of Multiple Regions"
"C78.5","C78.5 Secondary Malignant Neoplasm Of Large Intestine And Rectum"
"C78.7","C78.7 Secondary Malignant Neoplasm Of Liver And Intrahepatic Bile Duct"
"C78.80","C78.80 Secondary Malignant Neoplasm Of Unspecified Digestive Organ"
"C79.32","C79.32 Secondary Malignant Neoplasm Of Cerebral Meninges"
"C81.01","C81.01 Nodular Lymphocyte Predominant Hodgkin Lymphoma, Lymph Nodes Of Head, Face, And Neck"
"C81.04","C81.04 Nodular Lymphocyte Predominant Hodgkin Lymphoma, Lymph Nodes Of Axilla And Upper Limb"
"C81.10","C81.10 Nodular Sclerosis Classical Hodgkin Lymphoma, Unspecified Site"
"C81.12","C81.12 Nodular Sclerosis Classical Hodgkin Lymphoma, Intrathoracic Lymph Nodes"
"C81.18","C81.18 Nodular Sclerosis Classical Hodgkin Lymphoma, Lymph Nodes Of Multiple Sites"
"C81.93","C81.93 Hodgkin Lymphoma, Unspecified, Intra-Abdominal Lymph Nodes"
"C81.98","C81.98 Hodgkin Lymphoma, Unspecified, Lymph Nodes Of Multiple Sites"
"C82.80","C82.80 Other Types Of Follicular Lymphoma, Unspecified Site"
"C82.93","C82.93 Follicular Lymphoma, Unspecified, Intra-Abdominal Lymph Nodes"
"C83.35","C83.35 Diffuse Large B-Cell Lymphoma, Lymph Nodes Of Inguinal Region And Lower Limb"
"C83.38","C83.38 Diffuse Large B-Cell Lymphoma, Lymph Nodes Of Multiple Sites"
"C83.50","C83.50 Lymphoblastic (Diffuse) Lymphoma, Unspecified Site"
"C84.00","C84.00 Mycosis Fungoides, Unspecified Site"
"C84.10","C84.10 S?zary Disease, Unspecified Site"
"C84.A8","C84.A8 Cutaneous T-Cell Lymphoma, Unspecified, Lymph Nodes Of Multiple Sites"
"C85.10","C85.10 Unspecified B-Cell Lymphoma, Unspecified Site"
"A04.2","A04.2 Enteroinvasive Escherichia Coli Infection"
"A04.72","A04.72 Enterocolitis Due To Clostridium Difficile, Not Specified As Recurrent"
"A31.9","A31.9 Mycobacterial Infection, Unspecified"
"A40.8","A40.8 Other Streptococcal Sepsis"
"A40.9","A40.9 Streptococcal Sepsis, Unspecified"
"A41.51","A41.51 Sepsis Due To Escherichia Coli [E. Coli]"
"A48.1","A48.1 Legionnaires' Disease"
"A49.01","A49.01 Methicillin Susceptible Staphylococcus Aureus Infection, Unspecified Site"
"A49.2","A49.2 Hemophilus Influenzae Infection, Unspecified Site"
"A49.3","A49.3 Mycoplasma Infection, Unspecified Site"
"A53.9","A53.9 Syphilis, Unspecified"
"A56.2","A56.2 Chlamydial Infection Of Genitourinary Tract, Unspecified"
"A65","A65 Nonvenereal Syphilis"
"A74.9","A74.9 Chlamydial Infection, Unspecified"
"A77.9","A77.9 Spotted Fever, Unspecified"
"B06.89","B06.89 Other Rubella Complications"
"B33.21","B33.21 Viral Endocarditis"
"B33.24","B33.24 Viral Cardiomyopathy"
"B34.2","B34.2 Coronavirus Infection, Unspecified"
"B35.6","B35.6 Tinea Cruris"
"B35.8","B35.8 Other Dermatophytoses"
"B37.41","B37.41 Candidal Cystitis And Urethritis"
"B47.0","B47.0 Eumycetoma"
"B85.2","B85.2 Pediculosis, Unspecified"
"B86","B86 Scabies"
"B91","B91 Sequelae Of Poliomyelitis"
"B94.1","B94.1 Sequelae Of Viral Encephalitis"
"B94.8","B94.8 Sequelae Of Other Specified Infectious And Parasitic Diseases"
"B95.61","B95.61 Methicillin Susceptible Staphylococcus Aureus Infection As The Cause Of Diseases Classified Elsewhere"
"B96.81","B96.81 Helicobacter Pylori [H. Pylori] As The Cause Of Diseases Classified Elsewhere"
"B96.89","B96.89 Other Specified Bacterial Agents As The Cause Of Diseases Classified Elsewhere"
"B97.0","B97.0 Adenovirus As The Cause Of Diseases Classified Elsewhere"
"C02.4","C02.4 Malignant Neoplasm Of Lingual Tonsil"
"C16.2","C16.2 Malignant Neoplasm Of Body Of Stomach"
"C17.1","C17.1 Malignant Neoplasm Of Jejunum"
"C18.9","C18.9 Malignant Neoplasm Of Colon, Unspecified"
"C20","C20 Malignant Neoplasm Of Rectum"
"C22.0","C22.0 Liver Cell Carcinoma"
"C24.9","C24.9 Malignant Neoplasm Of Biliary Tract, Unspecified"
"C25.2","C25.2 Malignant Neoplasm Of Tail Of Pancreas"
"C25.9","C25.9 Malignant Neoplasm Of Pancreas, Unspecified"
"C34.81","C34.81 Malignant Neoplasm Of Overlapping Sites Of Right Bronchus And Lung"
"C37","C37 Malignant Neoplasm Of Thymus"
"C43.10","C43.10 Malignant Melanoma Of Eyelid, Including Canthus, Unspecified Side"
"C43.59","C43.59 Malignant Melanoma Of Other Part Of Trunk"
"C43.61","C43.61 Malignant Melanoma Of Right Upper Limb, Including Shoulder"
"C44.229","C44.229 Squamous Cell Carcinoma Of Skin Of Left Ear And External Auricular Canal"
"C44.310","C44.310 Basal Cell Carcinoma Of Skin Of Unspecified Parts Of Face"
"C44.41","C44.41 Basal Cell Carcinoma Of Skin Of Scalp And Neck"
"C44.721","C44.721 Squamous Cell Carcinoma Of Skin Of Unspecified Lower Limb, Including Hip"
"C44.729","C44.729 Squamous Cell Carcinoma Of Skin Of Left Lower Limb, Including Hip"
"C49.10","C49.10 Malignant Neoplasm Of Connective And Soft Tissue Of Upper Limb, Including Shoulder, Unspecified Side"
"C49.12","C49.12 Malignant Neoplasm Of Connective And Soft Tissue Of Left Upper Limb, Including Shoulder"
"C4A.9","C4A.9 Merkel Cell Carcinoma, Unspecified"
"C50.929","C50.929 Malignant Neoplasm Of Unspecified Site Of Unspecified Male Breast"
"C56.2","C56.2 Malignant Neoplasm Of Left Ovary"
"C56.9","C56.9 Malignant Neoplasm Of Ovary, Unspecified Side"
"C61","C61 Malignant Neoplasm Of Prostate"
"C62.12","C62.12 Malignant Neoplasm Of Descended Left Testis"
"C64.1","C64.1 Malignant Neoplasm Of Left Kidney, Except Renal Pelvis"
"C66.1","C66.1 Malignant Neoplasm Of Left Ureter"
"C66.2","C66.2 Malignant Neoplasm Of Left Ureter"
"C67.0","C67.0 Malignant Neoplasm Of Trigone Of Bladder"
"C67.9","C67.9 Malignant Neoplasm Of Bladder, Unspecified"
"C70.9","C70.9 Malignant Neoplasm Of Meninges, Unspecified"
"C71.2","C71.2 Malignant Neoplasm Of Temporal Lobe"
"C74.02","C74.02 Malignant Neoplasm Of Cortex Of Left Adrenal Gland"
"C77.9","C77.9 Secondary And Unspecified Malignant Neoplasm Of Lymph Node, Unspecified"
"C79.00","C79.00 Secondary Malignant Neoplasm Of Kidney And Renal Pelvis, Unspecified Side"
"C79.01","C79.01 Secondary Malignant Neoplasm Of Right Kidney And Renal Pelvis"
"C79.51","C79.51 Secondary Malignant Neoplasm Of Bone"
"C7A.011","C7A.011 Malignant Carcinoid Tumor Of The Jejunum"
"C81.91","C81.91 Hodgkin Lymphoma, Unspecified, Lymph Nodes Of Head, Face, And Neck"
"C81.99","C81.99 Hodgkin Lymphoma, Unspecified, Extranodal And Solid Organ Sites"
"C82.98","C82.98 Follicular Lymphoma, Unspecified, Lymph Nodes Of Multiple Sites"
"C83.07","C83.07 Small Cell B-Cell Lymphoma, Spleen"
"C83.10","C83.10 Mantle Cell Lymphoma, Unspecified Site"
